Customer ID,Name,Age,Gender,Email,Address,Customer Segment
6149,Teresa Martin,25,Male,rebecca02@gmail.com,"60710 Thompson Skyway Apt. 122
Adamsfort, MN 51401",Regular
2269,David Jacobson,41,Other,michellepayne@yahoo.com,"381 Valerie Turnpike Suite 445
Robertsmouth, ME 00656",VIP
8129,Cynthia Ballard,68,Other,zvaldez@hotmail.com,"174 Gutierrez Grove
North Sharon, MN 95367",Regular
8810,Lauren Summers,66,Other,roseholly@yahoo.com,"3871 Vasquez Brook Suite 340
Dyerville, TX 85932",New
5713,Laurie Frazier,68,Male,jillreyes@fry-harris.com,"48386 Karen Prairie
Leestad, NE 99941",New
9105,Brad Bowen,48,Other,roybaldwin@yahoo.com,"3118 Cindy Manors
South Jessemouth, MD 34819",Regular
1521,Douglas Alexander,34,Female,dphillips@hotmail.com,"6741 Heidi Forge Apt. 109
Kentburgh, VA 17265",Regular
9982,Sharon Klein,21,Male,cynthiafarrell@bates-jones.biz,"4177 Gabriel Prairie Apt. 815
Johnsonstad, RI 83584",VIP
4761,Michelle Webb,39,Other,holly76@gmail.com,"725 Jones Field Suite 262
Smithland, IN 97280",New
7062,Julie Clark,31,Female,kristincross@gonzalez-barrera.com,"36217 Mueller Drive Suite 762
Allenton, OR 79896",VIP
4407,Joseph Campbell,44,Female,shawnlopez@frederick.com,"691 Ramirez Plains
Johnsonshire, VT 81728",New
9274,Kevin Zimmerman,58,Other,jennifer43@woods.com,"4110 Garcia Village
Smithmouth, ME 39976",VIP
2670,Charles Jensen,31,Other,freemankurt@yahoo.com,"6140 Morris Dam Apt. 230
Leechester, WY 13452",New
8998,Jason Daugherty,26,Male,jsmith@tucker.com,"5892 Brandon Trail Suite 269
South Danieltown, AR 20467",Regular
8740,John Brandt,62,Other,tammyward@bird.com,"28850 Amy Glen
Starkberg, AK 87332",VIP
8986,Jessica Saunders,20,Female,matthewhooper@kim-kline.com,"97259 David Squares
West Carlos, WI 73342",Regular
5909,Mary Green,48,Other,nathan63@gmail.com,"4340 Daugherty Fields Apt. 998
Robertview, SC 23455",VIP
9183,Jo Bird,57,Other,joseph91@hotmail.com,"6614 Lewis Spur
Ianport, OH 11430",VIP
9779,Richard Schneider,70,Male,nealkayla@perry-raymond.info,"6107 Sarah Avenue
West Malloryview, ME 43827",New
5299,Norma Reed,59,Other,jeremymiller@cruz.com,"431 Kendra Throughway
Michelleborough, NH 25606",VIP
2161,Katie Adams,57,Other,jessica34@manning.biz,"08680 Nunez Manors
Mannland, AL 12031",Regular
5743,James Jones,27,Female,grice@yahoo.com,"PSC 8809, Box 4787
APO AE 88732",VIP
2816,Casey Allen,64,Other,jsanchez@mcdowell.com,"Unit 2526 Box 1810
DPO AE 48318",VIP
9440,Philip Cummings,62,Other,turnerpaul@hotmail.com,"073 Bowen Harbors
East Jacobshire, ID 23511",New
9816,Donald Sutton,51,Male,dbonilla@yahoo.com,"PSC 7841, Box 0833
APO AE 53041",VIP
2789,Jasmine Anderson,54,Male,jacobgarza@kramer-hill.org,"55386 Beverly Club
Millermouth, KY 58854",VIP
9014,Collin Mendoza,41,Male,heathermason@jones.org,"48696 April Spur
South Colleen, AZ 16212",New
8417,William Johnson,40,Male,casey62@gmail.com,"85499 Katherine Summit Suite 945
Lake Danielle, KS 16622",VIP
2522,Raymond Clark,34,Female,higginsjeffrey@haynes.net,"64330 Barbara Ramp Suite 704
Warrenberg, NC 97287",VIP
5277,Dana Thompson,28,Male,leahtorres@hutchinson.com,"USNV Cantrell
FPO AP 12305",New
3483,Walter Cooper,61,Female,tayloralan@gmail.com,"Unit 2921 Box 1336
DPO AP 54334",New
9739,Barry Beltran,39,Female,michael23@hotmail.com,"593 Amy Island
Mayburgh, AK 80114",VIP
7631,James Mccann,59,Female,meganmartinez@fowler-ford.info,"285 Miranda Vista Suite 843
Kevinhaven, NM 27747",Regular
2794,Jessica Evans,46,Male,dominguezdavid@hobbs-bennett.com,"8708 James Roads
Peterborough, DE 98149",Regular
2445,Michelle Lynch,19,Male,christinacopeland@yahoo.com,"295 Avery Rue
Carloschester, LA 44910",Regular
5451,Jonathan Morrison,39,Male,tmerritt@tanner.com,"19555 James Highway
Burnsfurt, AK 27742",New
4330,Miss Alexis Griffin,18,Female,joseph37@bell-oliver.com,"061 Corey Square
West Kara, KY 93273",Regular
4645,Mark Hill,25,Male,georgewright@medina.com,"985 Jones Meadow Apt. 726
Lowetown, WI 31778",Regular
9622,Rita Houston,55,Other,hodgesrobert@melendez-gillespie.com,"Unit 7230 Box 4496
DPO AE 70920",New
5911,Katherine Smith,52,Male,fitzpatrickshawn@martin-anthony.info,"386 Conley Green Apt. 319
New Nicoleburgh, WA 42845",New
